reviewId,userName,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appId
gp:AOqpTOE1ew_b6APbDQH6WzRLfzVIfKDhxtZeWyiR09NwFz5KivHwSacCgVKxltLoQb_AOz7LO6LE6b5RhACBeAA,lone ifham,I love you,1,0,2.20.108,10/2/2020 4:37,,,com.whatsapp
gp:AOqpTOHVs0GmTFtagmxwUPCpOhspue2obZ92yKHQbpYGaLX18vn9mhqQghk2eUwBhya1OioTCtRKsGYUguOHqz8,Kazi Nuruddin,Nbv,1,0,2.20.200.22,10/2/2020 4:36,,,com.whatsapp
gp:AOqpTOE_qBHjbZC2gqABd668cEn5ok8EPRmfRkgQTivaYKmsiUAtXnXyNRHIIgBVY2PwX9fyeMmGeYS3B6k0ajE,sadiah nadeem,whatsapp just got freeze suddenly and crash.. just git fed up.. ðŸ™„,1,0,2.20.199.14,10/2/2020 4:32,,,com.whatsapp
gp:AOqpTOHw_koTDRMBTwxfHMOH1NnLjpP3KrHGA9Rw3uQYTeeW0eKgsjvUNFBmcGXWQDnf_QD09f5ZYg7UAEFToXQ,Sonam Mohanty,My number was banned only for using unabdated version,1,0,2.18.177,10/2/2020 4:30,,,com.whatsapp
gp:AOqpTOFb-tTbceMq0W1wKkpqF_u5CIHe_O16adrOw1f1l8N58-KhAoZhnYAiGNKzcJvOq9XZdIYszqZoMOdh6fw,Kuni Mishra.,This is not update why?,1,0,2.20.89,10/2/2020 4:27,,,com.whatsapp
gp:AOqpTOFVpG93TDXfkdOk1aMERU3c8GMWBdkMLiQooH5pyjll9O6NHL5TetnWYULW7nMcXxvqi-b09my1MnwEljs,Arun Manoj,Polwi sathanam myree,1,0,2.20.199.14,10/2/2020 4:27,,,com.whatsapp
gp:AOqpTOEphp2-Z42FaBT5e9RPHKqMfiknaQOTsAbuTCWZq89WsU0yxQjJJvrbctkcOdeIgS2hCWxQFN3TIsr7KDI,Samin Kahn,Shameem,1,0,2.20.200.22,10/2/2020 4:26,,,com.whatsapp
gp:AOqpTOEAvZ8hUhIS1nZhHlj1bYJH1C_P4P5NwpdKj8VRodLe2S5s2FCfSLeU0DvIBlUh0k0ll_zVFRjBN0xPh3A,Nishat Parween,It very great,1,0,2.20.108,10/2/2020 4:25,,,com.whatsapp
gp:AOqpTOGTjRf_XIhvBf9pWs2C1xIJmjaFjhrL1DW18-IeEvXmjbK5uziYUZ6e4PqphzqsPIA5NGlrrqvLwZi0aEo,TOP TECH,privacy has become zero is there any kind of end to end encryption??,1,0,,10/2/2020 4:24,,,com.whatsapp
gp:AOqpTOGiwQuxOunHkty98zWoEa1gcrjkMHDznymqNw4oXe1yEXpip21Dq_gc2Px8ZaZZ97A3fPVaapXd0NaFmek,Sharo Ray,The best social medium,1,0,2.20.108,10/2/2020 4:22,,,com.whatsapp
gp:AOqpTOEd3-t1tSja8baYR4cMZSUPEH5OGbZzQn0sVJXEacZOFhPEMyUzK_Ocdo90qkCYbN24kK7Fi_MvW51spiA,Sunny Bhai,Sk,1,0,2.19.360,10/2/2020 4:20,,,com.whatsapp
gp:AOqpTOGN2EfRHhUtG_3Tvi9QBmtpDcZ8sdotS2RsugxerfQq4onxzH9VFnPt8WlHkOGFeJBDC-50EtHqeEEn5WA,Nolan Tate,Download updates suck,1,0,2.20.108,10/2/2020 4:19,,,com.whatsapp
gp:AOqpTOGiE03qGxIwx1gy7OxH10f8b_tt61p6r0JNIsN6M9IGYA0Rz0U2C6dLDGeBblEcoO0nG3tcK5c6jkPtUAk,Aqeel Husny,There is a bug while going to camera option its always turn on and my chat is transparency viewing my baground.,1,0,2.20.200.22,10/2/2020 4:19,,,com.whatsapp
