content,appId
Ronnie the shot himself on live Facebook and why would you think that this is a good idea to make Tik Tok this video is so traumatizing and kids are on this you people are so dumb,com.zhiliaoapp.musically
I AM TRYING TO MAKE TIK TOK VIDEOS I DI NOT LIKE IT AND IT WILL NOT LET ME WATCH THEM!!!!!!!!!!!!,com.zhiliaoapp.musically
I hate it,com.zhiliaoapp.musically
"I hate this program, do you know why? Because every time I create a new account, it closes my account and blocks me, shame on you",com.zhiliaoapp.musically
Doodoo,com.zhiliaoapp.musically
Doesn't want to work,com.zhiliaoapp.musically
This app is very horrible :/,com.zhiliaoapp.musically
Chakko ka adda,com.zhiliaoapp.musically
I not download tik tok,com.zhiliaoapp.musically
Straight ass,com.zhiliaoapp.musically
Tiktok bad,com.zhiliaoapp.musically
"The videos are great, the community and comments are awful.",com.zhiliaoapp.musically
This app is cancer for humanity.,com.zhiliaoapp.musically
ðŸ¤®ðŸ¤®ðŸ¤®ðŸ¤®ðŸ¤®,com.zhiliaoapp.musically
DjvjjxkakskksjPpp Amazon original magicJack s on my own phone my new phone,com.zhiliaoapp.musically
ðŸ¤®ðŸ¤®ðŸ¤®ðŸ¤®ðŸ¤®ðŸ¤®ðŸ¤®ðŸ¤®ðŸ¤®ðŸ¤®ðŸ¤®ðŸ¤®ðŸ¤¢ðŸ¤¢ðŸ¤¢ðŸ¤¢,com.zhiliaoapp.musically
i love this app,com.zhiliaoapp.musically
Uninstalled this spyware,com.zhiliaoapp.musically
My daughter loves it..!!!,com.zhiliaoapp.musically
Tik tok gee,com.zhiliaoapp.musically
Dumb waste of time,com.zhiliaoapp.musically
I'm unable to log in. I've tried uninstalling and installing again. It doesn't work. I click on 'open with email' option and nothing happens. I tried opting other options still no result.,com.zhiliaoapp.musically
This is one of the worst app they could have come out with,com.zhiliaoapp.musically
My tik tok is glitching out fix it please,com.zhiliaoapp.musically
I Have Requested You Please Add LIVE Option In My Titkok ID And My Followers Is 10.4kðŸ˜«ðŸ˜«ðŸ˜«ðŸ˜«,com.zhiliaoapp.musically
tiki tok,com.zhiliaoapp.musically
fabâ¤,com.zhiliaoapp.musically
Nah fam,com.zhiliaoapp.musically
The worst app ever Good ror normies,com.zhiliaoapp.musically
Tik tok is do cool,com.zhiliaoapp.musically
It kick me out And i can't get any it more,com.zhiliaoapp.musically
TRUMP 2020,com.zhiliaoapp.musically
I take my 5 stars back because for you page is going down and why is it showing me content from all over world? I only wanna see my country's content but is is showing me from all over the world,com.zhiliaoapp.musically
Lanet olsun,com.zhiliaoapp.musically
Disgusting,com.zhiliaoapp.musically
It so bad it made me delete robox bad game,com.zhiliaoapp.musically
My experions am,com.zhiliaoapp.musically
I hate this I love it,com.zhiliaoapp.musically
Hhhhh,com.zhiliaoapp.musically
"I was looking forward to signing up to TikTok and I am legal 2 sign up bcz im not from the US. But, it says that im 'not eligible to sign up for TikTok'. Does anyone know how 2 fix this?",com.zhiliaoapp.musically
It's a good app don't get me wrong but. It's lags and plays an add every 5 second,com.zhiliaoapp.musically
Ø®Ø±Ø©ðŸ’©ðŸŒš,com.zhiliaoapp.musically
WARNING HARMFULL HOSPITAL Bad this made my friend break two legs one arm scrapes all over body by being influenced to jump out of 26 foot high window which is 3 floors traumatised suicide vidioes going round save traumatise lives and injured souls don't download for your safety Thankyou,com.zhiliaoapp.musically
Fast,com.zhiliaoapp.musically
â˜ºâ˜ºâ˜ºâ˜ºâ˜ºâ˜º,com.zhiliaoapp.musically
Great,com.zhiliaoapp.musically
Horrible,com.zhiliaoapp.musically
I had very bad experience on this app because my followers are morethen 45k but my videos are not reaching to my audience. I'm reporting my problem but tiktoks is not responding me. Its totally waste of time,com.zhiliaoapp.musically
Just gay app ðŸƒðŸ¿,com.zhiliaoapp.musically
Not very good.,com.zhiliaoapp.musically
"Tiktok, byte the dust",com.zhiliaoapp.musically
I hate this gameðŸ˜ ðŸ˜ ðŸ˜  it don't even work and your couch attacks sometimes my didðŸ˜¡ðŸ˜¡ðŸ˜¡ barely care if your account gets hacked and hold on I'm not done yet the account getting hacked part maybe you can understand but play say you want a friend you want to name starry-eyed name Olivia say that but you put it in an estate account can't be used or too many letters or blah blah blah I don't have time for that I just want to make a video and that's all you can't even follow you can't follow peopleðŸ˜ ,com.zhiliaoapp.musically
Google deleted my review again,com.zhiliaoapp.musically
My account is freezed and no one is answering on my report,com.zhiliaoapp.musically
This tik tok is meant to be good it is absolute rubbish jk not,com.zhiliaoapp.musically
Garbage waste of time,com.zhiliaoapp.musically
It's trash,com.zhiliaoapp.musically
Amazing ðŸ˜€,com.zhiliaoapp.musically
Tik tok is geting board because peple are posting stiff that small children kan not see my brother is 10 for the love of god,com.zhiliaoapp.musically
Bad for people,com.zhiliaoapp.musically
Fine,com.zhiliaoapp.musically
Completely useless,com.zhiliaoapp.musically
Love tiktok,com.zhiliaoapp.musically
It doesn't even load on my huawei ðŸ˜ðŸ˜‘ðŸ˜”,com.zhiliaoapp.musically
ðŸ¤¦â€â™‚ï¸,com.zhiliaoapp.musically
"In general, the content posted on this app is unoriginal combined with people trying too hard. Actual good tiktok videos are difficult to find. Then to top it off there's too many ads.",com.zhiliaoapp.musically
best tik tok,com.zhiliaoapp.musically
@muhammadkabir702 my video viral,com.zhiliaoapp.musically
An,com.zhiliaoapp.musically
Acting,com.zhiliaoapp.musically
Downloaded videos are not playing..there's error in playing them,com.zhiliaoapp.musically
I can't mark videos,com.zhiliaoapp.musically
"Downloaded it, played on it for about an hour and feel like I'm now autistic and have down syndrome. Someone told me this was like classic vine videos.....they lied.",com.zhiliaoapp.musically
Ur not giving me viwes,com.zhiliaoapp.musically
